genre,title
fiction,Harry Potter and the Prisoner of Azkaban
fiction,Crazy Rich Asians
fiction,Red Queen
fiction,All the Bright Places
fiction,Percy Jackson's Greek Gods
fiction,Percy Jackson: Sea of Monsters
fiction,Harry Potter and the Philosopher’s Stone
fiction,Animal Farm
fiction,A Thousand Pieces of You
fiction,The Road to Little Dribbling: More Notes from a Small Island
fiction,We Were Liars
fiction,The Red Ribbon
fiction,Ballad for a Mad Girl
fiction,The Book Thief
fiction,Transcendent Kingdom
fiction,The Outsiders
fiction,Murder On The Orient Express
fiction,To Kill a Mockingbird
