genre,title,author_firstname,author_lastname
YA,Harry Potter and the Prisoner of Azkaban,J.K.,Rowling
fiction,Harry Potter and the Prisoner of Azkaban,J.K.,Rowling
fiction,Crazy Rich Asians,Kevin,Kwan
YA,The Fault in Our Stars,John,Green
YA,Red Queen,Victoria,Aveyard
fiction,Red Queen,Victoria,Aveyard
YA,All the Bright Places,Jennifer,Niven
fiction,All the Bright Places,Jennifer,Niven
YA,Percy Jackson's Greek Gods,Rick,Riordan
fiction,Percy Jackson's Greek Gods,Rick,Riordan
YA,Percy Jackson: Sea of Monsters,Rick,Riordan
fiction,Percy Jackson: Sea of Monsters,Rick,Riordan
YA,Harry Potter and the Philosopher’s Stone,J.K.,Rowling
fiction,Harry Potter and the Philosopher’s Stone,J.K.,Rowling
YA,Animal Farm,George,Orwell
fiction,Animal Farm,George,Orwell
YA,A Thousand Pieces of You,Claudia,Gray
fiction,A Thousand Pieces of You,Claudia,Gray
fiction,The Road to Little Dribbling: More Notes from a Small Island,Bill,Bryson
YA,We Were Liars,E.,Lockhart
fiction,We Were Liars,E.,Lockhart
YA,The Red Ribbon,Lucy,Adlington
fiction,The Red Ribbon,Lucy,Adlington
YA,Ballad for a Mad Girl,Vikki,Wakefield
fiction,Ballad for a Mad Girl,Vikki,Wakefield
fiction,The Book Thief,Markus,Zusak
YA,Rosemary’s Baby,Ira,Levin
fiction,Transcendent Kingdom,Yaa,Gyasi
YA,The Outsiders,Susan Eloise,Hinton
fiction,The Outsiders,Susan Eloise,Hinton
fiction,Murder On The Orient Express,Agatha,Christie
YA,To Kill a Mockingbird,Harper,Lee
fiction,To Kill a Mockingbird,Harper,Lee
