Title ,Date published,ISBN,Number of Pages,Rating,Screen adaptation,Series ,Publisher 
One Direction: Who We Are: Our Official Autobiography,2014,9780008345419,352,10,No,,Harpernonfiction
ZAYN,2016,9781524718725,288,10,No,,Delacorte Press
Harry Potter and the Prisoner of Azkaban,1999,9780439136358,464,10,Yes,Harry Potter,Scholastic
Crazy Rich Asians,2013,9781782393320,403,10,Yes,Crazy Rich Asians,Doubleday
The Fault in Our Stars,2021,9781455869749,313,9,Yes,,Penguin Group
Red Queen,2015,9781409150725,388,8,No,Red Queen,Orion Books
All the Bright Places,2015,9780241395967,432,7,Yes,,Alfred A.Knopf
Percy Jackson's Greek Gods,2014,9780141355207,404,10,No,Percy Jackson,Puffin
Percy Jackson: Sea of Monsters,2006,9780545271905,279,9,Yes,Percy Jackson,Puffin
Harry Potter and the Philosopher’s Stone,1997,9783551559012,223,9,Yes,Harry Potter,Scholastic
The Cellar,2014,9781492600978,368,9,No,,Sourcebooks
Winter Holiday,1933,9780099573654,484,6,No,Vintage Classic,Vintage Books London
Animal Farm,1945,9780140817690,139,4,Yes,,Penguin Group
A Thousand Pieces of You,2014,9780062357694,384,9,No,Firebird,HarperCollins
The Road to Little Dribbling: More Notes from a Small Island,2014,9780552779838,476,1,No,,Penguin Group
We Were Liars,2014,9780804168397,256,7,Yes,,Dell Publishing
The Red Ribbon,2017,9781471406560,288,5,Yes,,Hot Key Books
Ballad for a Mad Girl,2017,9781925355291,309,3,No,,Text Publishing
The Book Thief,2005,9780739337271,584,2,Yes,,Picador
Rosemary’s Baby,1967,9781849017497,229,4,Yes,,Corsair
Transcendent Kingdom,2020,9780241433386,264,3,No,,Viking
The Outsiders,1967,9780141368887,216,5,Yes,,Penguin Group
Murder On The Orient Express,1934,9781405032735,256,8,Yes,,Collins Crime Club
To Kill a Mockingbird,1960,9780749301347,281,4,Yes,To Kill a Mockingbird Series,J. B. Lippincott & Co.
